"lon","lat","AOD","albedo","cloud","stn","CZ","cluster"
138.75,-34.75,0.0572899107724811,0.142197982474395,0.43049721113043,"ADE","Csb",4
-0.25,27.75,0.372597936754096,0.412959209291509,0.159234115645301,"ADR","BWh",2
-106.75,35.25,0.0411525408491223,0.225523818923198,0.261739959035549,"ALB","BSk",4
16.75,-28.75,0.0708875553457847,0.143378953241561,0.125337845912565,"ALE","BWh",4
133.75,-23.75,0.0341851527206527,0.133409185616125,0.272581900072535,"ALI","BWh",4
-110.75,32.25,0.0513226799721304,0.167470952751631,0.293034413398737,"ARI","BSh",4
71.75,29.25,0.655934641404266,0.237530288543031,0.299416971997403,"BAH","BWh",1
-156.75,71.25,0.0875643359629605,0.493760654632164,0.390980978968305,"BAR","ET",3
-100.75,46.75,0.101038365585598,0.291697232397375,0.529155143146553,"BIS","Dfb",5
-88.25,40.25,0.114815813723507,0.183102676284794,0.613267029324829,"BON","Cfa",5
-105.25,40.25,0.0553120715618187,0.309005484263294,0.495626732715557,"BOU","BSk",4
122.25,-17.75,0.0829119187287888,0.0848369039490721,0.294551127578953,"BRO","BSh",4
-119.25,43.75,0.0551772188883645,0.264851049913834,0.531697456790866,"BUR","BSk",5
4.75,51.75,0.136538331872429,0.132498841514252,0.72147229533059,"CAB","Cfb",5
-45.25,-22.75,0.0738543141617783,0.132093031983034,0.57548129493432,"CAC","Cfa",5
128.25,26.75,0.190704155709887,0.0142614904215448,0.669875924471979,"CAH","Ocean",5
31.25,30.25,0.317184725687187,0.141411454433704,0.219520946688168,"CAI","BWh",2
144.75,-40.75,0.0717416222776617,0.0353735437558389,0.572206612718693,"CAP","Cfb",5
5.25,44.25,0.0786977726833435,0.109808263831705,0.456089653045543,"CAR","Csa",4
12.25,42.25,0.102162137864383,0.123911646320936,0.480040321502587,"CAS","Csa",5
-1.75,42.75,0.0817207201132763,0.153689272281057,0.565425065288584,"CEN","Cfb",5
140.25,35.75,0.201177713348167,0.0791252672293062,0.612680722156127,"CHB","Cfa",5
34.75,-15.75,0.109432944508125,0.130628498934429,0.529366143634304,"CHI","Cwa",5
28.25,-15.75,0.119861551255254,0.124661849026096,0.501551444994501,"CHL","Cwa",5
27.25,-16.75,0.122401276605309,0.136298394585935,0.443670980713543,"CHO","Cwa",4
96.75,-12.25,0.100757422515901,0.0142614904215448,0.507935214758644,"COC","Ocean",5
96.75,-12.25,0.100757422515901,0.0142614904215448,0.507935214758644,"COI","Ocean",5
9.75,46.75,0.0668981637560965,0.35664928004274,0.679461706523138,"DAO","ET",5
39.25,-6.75,0.144887959903805,0.0855180866141572,0.53073532755165,"DAR","Aw",5
9.75,46.75,0.0668981637560965,0.35664928004274,0.679461706523138,"DAV","ET",5
23.75,-30.75,0.0275099453846673,0.139409208259207,0.244825002372403,"DEA","BSk",4
-116.25,36.75,0.0553345470073944,0.197642131262018,0.225639110440188,"DES","BWk",4
130.75,-12.25,0.139718607421392,0.0162844335233028,0.398274179388682,"DRW","Aw",4
30.75,-29.75,0.10841031173443,0.0910303543955872,0.52495765591549,"DUR","Cfa",5
130.75,-12.25,0.139718607421392,0.0162844335233028,0.398274179388682,"DWN","Aw",4
91.25,22.75,0.558559773447509,0.0884835845044057,0.521463572362209,"FEN","Am",1
-48.75,-27.75,0.0893848470545929,0.0773769409782631,0.707421075013727,"FLO","Cfa",5
-105.25,48.25,0.0963522351830625,0.281312496051465,0.521918764425673,"FOP","BSk",5
130.25,33.75,0.26416514957409,0.0199502553402779,0.582422870824241,"FUK","Cfa",5
128.75,32.75,0.268480435124626,0.0142614904215448,0.638588015556261,"FUU","Ocean",5
25.75,-24.75,0.064077495336345,0.157481735556642,0.309593519336998,"GAB","BSh",4
73.25,-0.75,0.0957678735980941,0.0142614904215448,0.542920837644621,"GAN","Ocean",5
15.25,-23.75,0.0907446115119232,0.309697765127487,0.0808654601955298,"GOB","BWh",2
-105.25,39.75,0.051277729080979,0.297715874703373,0.491712709745031,"GOL","BSk",4
-89.75,34.25,0.107634908862068,0.102630242482556,0.539725525421945,"GOO","Cfa",5
-119.75,36.25,0.100813611129841,0.178969750543258,0.238349003645673,"HAF","BSk",4
73.25,6.75,0.258287820556043,0.0142614904215448,0.562577177171412,"HAN","Ocean",5
-119.25,45.75,0.0887442968556852,0.189043933024296,0.461605094471229,"HER","BSk",4
88.25,22.75,0.706875238801609,0.11905215173577,0.475005635462771,"HOW","Aw",1
68.25,25.25,0.61275931045333,0.268039185138494,0.19286587456874,"HYD","BWh",1
124.25,24.25,0.202638617310588,0.0142614904215448,0.663530551230399,"ISH","Ocean",5
72.75,33.75,0.431955588519542,0.156234749463944,0.280658853403816,"ISL","Cwa",1
-16.25,28.25,0.110624143123637,0.0142614904215448,0.347971668262549,"IZA","Csb",4
-3.75,37.75,0.0946216258737329,0.179676803936281,0.389671734857323,"JAE","Csa",4
35.75,30.25,0.222360820803272,0.346911508284132,0.162034111187181,"JOR","BWh",2
31.25,-10.25,0.128458409187962,0.127683061608362,0.517429669778954,"KAA","Cwa",5
24.75,-14.75,0.139898410985998,0.126382487920154,0.448173269333116,"KAO","Cwa",4
67.25,24.75,0.50769784010968,0.136551057538305,0.313092756785925,"KAR","BWh",1
33.25,-13.25,0.0848672824938754,0.143848653825309,0.579878083310017,"KAS","Cwa",5
13.75,46.75,0.100970939248871,0.159339699508455,0.689197106164903,"KAZ","Dfb",5
73.75,1.75,0.118524262243499,0.0142614904215448,0.552289846844904,"KDO","Ocean",5
66.75,27.75,0.283201851976715,0.213229139387957,0.354964061563541,"KHU","BWh",2
20.25,67.75,0.0616276717685928,0.345553112024033,0.668509369041412,"KIR","Dfc",5
30.75,-29.75,0.10841031173443,0.0910303543955872,0.52495765591549,"KWA","Cfa",5
74.25,31.75,0.679466432922033,0.156650586464994,0.3633116459552,"LAH","BSh",1
-76.25,37.25,0.118557975411863,0.0142614904215448,0.50593117397561,"LAN","Cfa",5
-115.25,36.25,0.0504461375946778,0.213374968696917,0.26988172260458,"LAS","BWh",4
169.75,-45.25,0.0377137976760389,0.21088070496837,0.581304681624861,"LAU","Cfb",5
8.75,46.25,0.0764389904029847,0.201038585585466,0.763129378435675,"LOC","Cfb",5
28.25,-15.25,0.119861551255254,0.14123324612479,0.494519469774947,"LUS","Cwa",5
12.75,55.75,0.105466028364012,0.0663410688450236,0.643508748963342,"LYN","Cfb",5
-89.25,43.25,0.100982176971658,0.230588105181387,0.600473978013095,"MAD","Dfb",5
54.75,24.25,0.431820735846088,0.403888179289635,0.107290642799663,"MAS","BWh",2
-16.75,14.25,0.43940619872789,0.105413788916224,0.428590218202413,"MBO","BSh",1
144.75,-37.75,0.0578742723574495,0.130501508929777,0.577511672124105,"MEL","Cfb",5
9.25,45.25,0.184444744117052,0.152658765571779,0.491741674638562,"MIL","Cfa",5
153.75,24.25,0.0780572224844358,0.0142614904215448,0.4342081706125,"MIN","Ocean",4
-4.25,32.75,0.131762299687591,0.258116113395466,0.327916082209532,"MIS","BWk",4
125.25,24.75,0.194288989279212,0.0142614904215448,0.657977074054845,"MIY","Ocean",5
73.75,4.25,0.179927179556335,0.0142614904215448,0.564945082987061,"MLE","Ocean",5
71.25,30.25,0.652136291101971,0.193963882145004,0.339327915257586,"MUL","BWh",1
26.25,-12.25,0.176477198660463,0.096193057266167,0.500121857420183,"MUT","Cwa",5
33.75,-11.25,0.0888229609152001,0.141724325140549,0.496232057759193,"MZU","Cwa",5
-35.25,-5.75,0.0913626862652552,0.0653031777793051,0.429492407635264,"NAT","As",4
-7.75,-70.75,0.0257456229069741,1,0.55359233935259,"NEU","Ocean",3
16.25,58.75,0.0774279100083159,0.102199216039327,0.647325672539896,"NOR","Cfb",5
11.75,78.75,0.0741689703998382,0.543651627056162,0.421068313662739,"NYA","ET",3
-84.25,35.75,0.103589328658441,0.108996632794704,0.568572394742795,"OAK","Cfa",5
2.25,42.25,0.0756298743622592,0.116798735951637,0.655237881596849,"ODE","Cfb",5
-1.75,34.75,0.140876092868541,0.174652348636807,0.352397344223343,"OUJ","BSk",4
2.25,48.75,0.120052592542647,0.12298005587802,0.709818770346211,"PAL","Cfb",5
-98.25,26.25,0.125469174926393,0.179207988578724,0.557729886777288,"PAN","BSh",5
69.75,41.25,0.170240262513204,0.22769965223737,0.38949410584388,"PAR","Csa",4
6.75,46.75,0.0862719978423572,0.107449209085547,0.639956117155521,"PAY","Cfb",5
71.25,34.25,0.321904569258086,0.137892100065491,0.302956667527153,"PES","BSh",2
-40.25,-9.25,0.059144135032477,0.124273733937276,0.580353581722328,"PET","BSh",5
102.75,15.25,0.309127278448295,0.160694880590824,0.651389261562072,"PHI","Aw",5
25.75,-34.25,0.0844065358595734,0.0142614904215448,0.399019484238066,"POR","BSh",4
28.25,-25.75,0.109005911042186,0.127115148026853,0.335892714962062,"PRE","Cwa",4
66.75,30.25,0.239329782212932,0.283986629146569,0.265945202879559,"QUE","BSk",2
150.25,-23.25,0.0715168678219046,0.138991686195838,0.487672416331175,"ROC","Cfa",5
-77.75,40.75,0.107073022722675,0.15889663564829,0.689880306571752,"ROS","Cfb",5
-111.75,40.75,0.0683815431640932,0.278458886917244,0.4296582084582,"SAL","BSk",4
-53.75,-29.25,0.0743262985188681,0.162013690225283,0.554883235595071,"SAO","Cfa",5
141.25,43.25,0.200368597307442,0.205728253880105,0.758279408015815,"SAP","Dfb",5
-122.25,47.75,0.0930146315150698,0.0415607102627584,0.589303063817018,"SEA","Csb",5
-122.25,47.75,0.0930146315150698,0.0415607102627584,0.589303063817018,"SET","Csb",5
47.25,29.25,0.474782550064055,0.41275195443843,0.218348847740329,"SHA","BWh",2
-121.25,43.25,0.0561886139392713,0.138019421797434,0.492004523316514,"SIL","Csb",5
-96.75,43.75,0.10071247162475,0.260485168426638,0.511281278428969,"SIO","Dfa",5
-104.75,39.75,0.053828692153822,0.249729462153125,0.396728680701283,"SOL","BSk",4
-105.25,39.75,0.051277729080979,0.297715874703373,0.491712709745031,"SRR","BSk",4
18.75,-33.75,0.0533567077967321,0.148028133286088,0.294465907914445,"STE","Csb",4
-77.25,38.75,0.112208662036725,0.107672609589396,0.58800876600341,"STR","Cfa",5
39.75,-69.25,0.0241723417166745,0.973034653251353,0.459855759211026,"SYO","EF",3
-2.25,37.25,0.0980266558784528,0.125099545328291,0.397298186170178,"TAB","Csa",4
5.75,22.75,0.276964915829456,0.258867821707043,0.249083640575306,"TAM","BWh",2
10.25,32.75,0.253478075202841,0.406057127126882,0.208351449813394,"TAT","BWh",2
128.75,71.75,0.112804261344481,0.571117225491111,0.573783395552665,"TIK","Dsd",3
79.75,13.25,0.334277302047513,0.164612459944644,0.604011869679368,"TIR","Aw",5
26.25,58.25,0.0865079900209022,0.18671869534048,0.678804430211389,"TOR","Dfb",5
146.75,-19.25,0.0671791068257928,0.0676553576153342,0.458562182942809,"TOW","Aw",4
18.25,57.75,0.0801137257546131,0.0435504170889437,0.563448443230387,"VIS","Cfb",5
30.25,-23.25,0.101094554199537,0.135042430501414,0.437323494374748,"VUW","Cwa",4
147.25,-35.25,0.0560425235430292,0.176485570329186,0.418969595816686,"WAG","Cfa",4
17.25,-22.75,0.0469512058076551,0.162887604116412,0.318663834515111,"WIN","BWh",4
