stn,lat,lon,alt,CZ,OlsonName,utc_offset_h
ADE,-34.9524,138.5196,-999,Csb,Australia/Adelaide,9.5
ADR,27.8783,-0.27,262,BWh,Africa/Algiers,1
ALB,35.038,-106.6221,1617,BSk,America/Denver,-7
ALE,-28.5608,16.7615,141,BWh,Africa/Johannesburg,2
ALI,-23.798,133.888,547,BWh,Australia/Darwin,9.5
ARI,32.2297,-110.9553,786,BSh,America/Phoenix,-7
BAH,29.3254,71.8188,120,BWh,Asia/Karachi,5
BAR,71.316,-156.6,11,ET,America/Anchorage,-9
BIS,46.7718,-100.7596,503,Dfb,America/Chicago,-6
BON,40.0667,-88.3667,-999,Cfa,America/Chicago,-6
BOU,40.125,-105.237,-999,BSk,America/Denver,-7
BRO,-17.9475,122.2353,-999,BSh,Australia/Perth,8
BUR,43.5192,-119.0216,1265,BSk,America/Los_Angeles,-8
CAB,51.9711,4.9267,0,Cfb,Europe/Amsterdam,1
CAC,-22.6896,-45.0062,574,Cfa,America/Sao_Paulo,-3
CAH,26.867,128.248,65,Ocean,Asia/Tokyo,9
CAI,30.0361,31.0086,104,BWh,Africa/Cairo,2
CAP,-40.6817,144.6892,-999,Cfb,Australia/Hobart,10
CAR,44.083,5.059,-999,Csa,Europe/Paris,1
CAS,42.0417,12.3067,150,Csa,Europe/Rome,1
CEN,42.816,-1.601,471,Cfb,Europe/Madrid,1
CHB,35.625,140.104,21,Cfa,Asia/Tokyo,9
CHI,-15.6798,34.9723,767,Cwa,Africa/Blantyre,2
CHL,-15.5483,28.2482,1226,Cwa,Africa/Lusaka,2
CHO,-16.8383,27.0705,1284,Cwa,Africa/Lusaka,2
COC,-12.193,96.835,-999,Ocean,Indian/Cocos,6.5
COI,-12.1892,96.8344,-999,Ocean,Indian/Cocos,6.5
DAO,46.813,9.844,1610,ET,Europe/Zurich,1
DAR,-6.7811,39.2039,122,Aw,Africa/Dar_es_Salaam,3
DAV,46.813,9.844,1610,ET,Europe/Zurich,1
DEA,-30.6667,23.993,1287,BSk,Africa/Johannesburg,2
DES,36.626,-116.018,-999,BWk,America/Los_Angeles,-8
DRW,-12.4239,130.8925,-999,Aw,Australia/Darwin,9.5
DUR,-29.817,30.945,200,Cfa,Africa/Johannesburg,2
DWN,-12.424,130.8925,-999,Aw,Australia/Darwin,9.5
FEN,22.8003,91.3582,5,Am,Asia/Dhaka,6
FLO,-27.6047,-48.5227,11,Cfa,America/Sao_Paulo,-3
FOP,48.3167,-105.1,-999,BSk,America/Denver,-7
FUK,33.5822,130.3764,3,Cfa,Asia/Tokyo,9
FUU,32.752,128.682,80,Ocean,Asia/Tokyo,9
GAB,-24.661,25.934,1014,BSh,Africa/Gaborone,2
GAN,-0.6906,73.15,3,Ocean,Indian/Maldives,5
GOB,-23.5614,15.042,407,BWh,Africa/Windhoek,2
GOL,39.742,-105.18,1829,BSk,America/Denver,-7
GOO,34.2547,-89.8729,-999,Cfa,America/Chicago,-6
HAF,36.31,-119.63,73,BSk,America/Los_Angeles,-8
HAN,6.7482,73.1696,2,Ocean,Indian/Maldives,5
HER,45.8184,-119.2847,180,BSk,America/Los_Angeles,-8
HOW,22.5535,88.3064,51,Aw,Asia/Kolkata,5.5
HYD,25.4134,68.2595,60,BWh,Asia/Karachi,5
ISH,24.3367,124.1644,5,Ocean,Asia/Tokyo,9
ISL,33.6419,72.9838,500,Cwa,Asia/Karachi,5
IZA,28.3093,-16.4993,2373,Csb,Atlantic/Canary,0
JAE,37.7878,-3.7781,459,Csa,Europe/Madrid,1
JOR,30.172,35.8183,1012,BWh,Asia/Amman,2
KAA,-10.1717,31.2256,1381,Cwa,Africa/Lusaka,2
KAO,-14.839,24.931,1172,Cwa,Africa/Lusaka,2
KAR,24.9334,67.1116,40,BWh,Asia/Karachi,5
KAS,-13.0153,33.4685,1065,Cwa,Africa/Blantyre,2
KAZ,46.6776,13.9024,1526,Dfb,Europe/Vienna,1
KDO,1.8599,73.5203,0,Ocean,Indian/Maldives,5
KHU,27.8178,66.6294,1260,BWh,Asia/Karachi,5
KIR,67.842,20.41,424,Dfc,Europe/Stockholm,1
KWA,-29.871,30.977,150,Cfa,Africa/Johannesburg,2
LAH,31.6944,74.2442,220,BSh,Asia/Karachi,5
LAN,37.1038,-76.3872,3,Cfa,America/New_York,-5
LAS,36.107,-115.1425,615,BWh,America/Los_Angeles,-8
LAU,-45.045,169.689,-999,Cfb,Pacific/Auckland,12
LOC,46.18,8.783,366,Cfb,Europe/Zurich,1
LUS,-15.3946,28.3372,1262,Cwa,Africa/Lusaka,2
LYN,55.7906,12.5251,40,Cfb,Europe/Copenhagen,1
MAD,43.0725,-89.4113,271,Dfb,America/Chicago,-6
MAS,24.4418,54.6166,6,BWh,Asia/Dubai,4
MBO,14.3942,-16.9586,21,BSh,Africa/Dakar,0
MEL,-37.6655,144.8321,-999,Cfb,Australia/Melbourne,10
MIL,45.4762,9.2546,150,Cfa,Europe/Rome,1
MIN,24.2883,153.9833,7,Ocean,Asia/Tokyo,9
MIS,32.8603,-4.1072,1107,BWk,Africa/Casablanca,1
MIY,24.737,125.327,50,Ocean,Asia/Tokyo,9
MLE,4.1927,73.5281,-8,Ocean,Indian/Maldives,5
MUL,30.1654,71.4978,95,BWh,Asia/Karachi,5
MUT,-12.423,26.215,1318,Cwa,Africa/Lusaka,2
MZU,-11.4199,33.9953,1285,Cwa,Africa/Blantyre,2
NAT,-5.8367,-35.2064,58,As,America/Fortaleza,-3
NEU,-70.65,-8.25,-999,Ocean,Etc/UTC,0
NOR,58.583,16.152,43,Cfb,Europe/Stockholm,1
NYA,78.925,11.93,11,ET,Arctic/Longyearbyen,1
OAK,35.93,-84.3095,245,Cfa,America/New_York,-5
ODE,42.494,2.029,1600,Cfb,Europe/Paris,1
OUJ,34.6497,-1.9003,617,BSk,Africa/Casablanca,1
PAL,48.713,2.208,156,Cfb,Europe/Paris,1
PAN,26.3059,-98.1716,45,BSh,America/Chicago,-6
PAR,41.3158,69.7411,1081,Csa,Asia/Tashkent,5
PAY,46.815,6.944,491,Cfb,Europe/Zurich,1
PES,34.0017,71.4854,370,BSh,Asia/Karachi,5
PET,-9.068,-40.319,387,BSh,America/Recife,-3
PHI,15.184,102.564,212,Aw,Asia/Bangkok,7
POR,-34.0086,25.6653,35,BSh,Africa/Johannesburg,2
PRE,-25.7531,28.2286,1410,Cwa,Africa/Johannesburg,2
QUE,30.2708,66.9398,1590,BSk,Asia/Karachi,5
ROC,-23.3753,150.4775,-999,Cfa,Australia/Brisbane,10
ROS,40.72,-77.9333,-999,Cfb,America/New_York,-5
SAL,40.7722,-111.9549,1288,BSk,America/Denver,-7
SAO,-29.4428,-53.8231,489,Cfa,America/Sao_Paulo,-3
SAP,43.06,141.3286,17,Dfb,Asia/Tokyo,9
SEA,47.6868,-122.2567,20,Csb,America/Los_Angeles,-8
SET,47.6539,-122.3095,70,Csb,America/Los_Angeles,-8
SHA,29.2282,47.0624,0,BWh,Asia/Kuwait,3
SIL,43.119,-121.0588,1355,Csb,America/Los_Angeles,-8
SIO,43.73,-96.62,-999,Dfa,America/Chicago,-6
SOL,39.7569,-104.6202,1674,BSk,America/Denver,-7
SRR,39.742,-105.18,1829,BSk,America/Denver,-7
STE,-33.9281,18.8654,119,Csb,Africa/Johannesburg,2
STR,38.972,-77.4869,85,Cfa,America/New_York,-5
SYO,-69.005,39.589,-999,EF,Antarctica/Syowa,3
TAB,37.0909,-2.3581,500,Csa,Europe/Madrid,1
TAM,22.7903,5.5292,1385,BWh,Africa/Algiers,1
TAT,32.9741,10.4851,210,BWh,Africa/Tunis,1
TIK,71.5862,128.9188,-999,Dsd,Asia/Yakutsk,9
TIR,13.0923,79.9738,36,Aw,Asia/Kolkata,5.5
TOR,58.254,26.462,70,Dfb,Europe/Tallinn,2
TOW,-19.2483,146.7661,-999,Aw,Australia/Brisbane,10
VIS,57.673,18.345,49,Cfb,Europe/Stockholm,1
VUW,-23.131,30.424,628,Cwa,Africa/Johannesburg,2
WAG,-35.1583,147.4575,-999,Cfa,Australia/Sydney,10
WIN,-22.565,17.075,1683,BWh,Africa/Windhoek,2